dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Variant V,30,943378,322.93999433517456,4.0728065967559814,2644.172,36.105,0.9144501638584528,0.07118724720437783,0.5641025641025641,0.08166262237469668,0.12642075463725863,0.7412199708639338,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,31,2085,339.1019811630249,3.4910590648651123,2734.222,31.207,0.9353400549238822,0.10984962406015038,0.5076441973592772,0.058570347246614855,0.18061565088391643,0.7245369250563314,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,31,2085,338.21356749534607,3.372382879257202,2768.12,31.204,0.9250768255207064,0.09646967541704383,0.5184155663655317,0.0691330417746819,0.1626689925861317,0.7246412622954249,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,31,2085,337.88986444473267,3.6086204051971436,2769.333,25.84,0.9012779864396858,0.0828487673602768,0.5990271021542738,0.09441849880276255,0.14556507789082618,0.7523043016757557,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,31,2085,320.50529313087463,4.161521911621094,2630.266,36.707,0.951914164652918,0.09551727248128439,0.3993212669683258,0.04195464814659861,0.15415969138947525,0.6786833094108635,0.951914164652918,0.09551727248128439,0.3993212669683258,0.04195464814659861,0.15415969138947525,0.9841694396435506,0.9898899562574561,0.9653519715077211
Variant IV,31,2085,323.63317799568176,4.0557403564453125,2662.339,30.361,0.9421943791585289,0.07648555605448286,0.385369532428356,0.051627478872060914,0.12763831647308604,0.6668710267781475,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,31,2085,322.52710914611816,4.019424915313721,2644.52,35.452,0.9554685689695124,0.10017747978702425,0.38310708898944196,0.0381809053635679,0.1588244489604502,0.672463091812937,0.9554685689695124,0.10017747978702425,0.38310708898944196,0.0381809053635679,0.1588244489604502,0.987807305663382,0.9871892994266487,0.9711023667850001
Base,32,663615,338.9788706302643,3.483607053756714,2779.102,31.703,0.9227748754944857,0.09780178837555886,0.5472550382209868,0.07187841668604335,0.16594668633442208,0.7376883107674717,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,32,663615,339.87733459472656,3.3449108600616455,2768.418,30.33,0.9476952343788108,0.11449631449631449,0.4047949965253648,0.04457483228781192,0.1785030261242626,0.6801100821187764,0.9476952343788108,0.11449631449631449,0.4047949965253648,0.04457483228781192,0.1785030261242626,0.9748272370705773,0.9963340949699058,0.9545042244487929
Variant II,32,663615,338.7060627937317,3.613675355911255,2777.489,32.624,0.9158284961709184,0.09594199640287769,0.5931202223766504,0.07957671224744227,0.16516690856313498,0.756771755064604,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,32,663615,323.7512514591217,3.9354360103607178,2666.076,28.147,0.9486535469562051,0.08590102707749767,0.3815987933634992,0.04505480712911054,0.1402341855470103,0.6682719931171943,0.9486535469562051,0.08590102707749767,0.3815987933634992,0.04505480712911054,0.1402341855470103,0.9908578498354346,0.9853321338535119,0.9283997897587848
