dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Variant III,18,376761,1124.4756441116333,12.349619388580322,98521.848,1088.698,0.7594839286305406,0.018254133666805613,0.3963046757164404,0.23648648648648649,0.034900710632928204,0.5799090946149769,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,18,376761,1129.5400643348694,12.374040126800537,99057.822,1090.012,0.7829206527855938,0.02216039907904835,0.43552036199095023,0.2132248347418626,0.04217483385671511,0.6111477636245438,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,18,376761,1130.7187836170197,12.3532555103302,99598.606,1090.357,0.03320616372604191,0.011127901021362692,0.9913273001508296,0.9774244833068363,0.022008748247211236,0.5069514084219967,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,19,811353,1179.815050125122,10.365098476409912,103586.77,909.938,0.6208301017994157,0.02284548699643039,0.6226546212647672,0.3791958759826451,0.04407388278118005,0.6217293726410611,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,19,811353,1183.0530791282654,10.32711672782898,103885.148,903.946,0.014189551729183942,0.014040462681542987,1.0,0.9998466348722617,0.02769211525231289,0.5000766825638692,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,19,811353,1175.6793267726898,10.337214231491089,103100.891,903.925,0.6119652699868299,0.0222330230181578,0.6198749131341209,0.38814734925692124,0.0429264067180789,0.6158637819385999,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,19,811353,1106.9540286064148,12.179253101348877,97106.989,1069.572,0.5065046840345593,0.01593192195931922,0.723604826546003,0.49590410844280813,0.031177397605237932,0.6138503590515975,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,19,811353,1109.7081677913666,12.160324811935425,97174.312,1067.177,0.659162004700586,0.01763218084784529,0.549396681749623,0.33962011547150867,0.03416779035000293,0.6048882831390572,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,19,811353,1114.0169537067413,12.186362504959106,97488.631,1068.226,0.790381177794697,0.02291654244429869,0.4347662141779789,0.20567316542548741,0.043538185594260356,0.6145465243762457,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,20,577745,1170.5677983760834,10.322778940200806,102420.615,898.025,0.014038271117159567,0.014038271117159567,1.0,1.0,0.027687852652136476,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,20,577745,1172.1167044639587,10.144507646560669,102521.835,885.253,0.7115067557680114,0.025309621030607767,0.5211952744961779,0.2857835473848772,0.048274974253347064,0.6177058635556503,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,20,577745,1168.4795231819153,10.335954189300537,102058.667,899.334,0.016638212770108775,0.014046413811654807,0.9979152189020153,0.9973334256822275,0.02770288845053848,0.5002908966098939,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,20,577745,1114.774620771408,12.1880784034729,97219.796,1061.892,0.10169568671587938,0.011574991458831568,0.9581447963800905,0.9078068780855159,0.02287365478874951,0.5251689591472873,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,20,577745,1112.2020559310913,12.16133737564087,96670.697,1062.163,0.9257547419643153,0.035538545653362494,0.22058823529411764,0.06642121998159149,0.06121487992465861,0.5770835076562632,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,20,577745,1131.122234582901,12.379761457443237,98538.684,1085.695,0.013795557615280214,0.011004606000248973,1.0,0.9971466822860011,0.021769645627601156,0.5014266588569994,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,21,659806,1177.7433803081512,10.195986032485962,102813.136,889.961,0.7931428069713332,0.02987488701774416,0.4364141765114663,0.20177803723291102,0.05592163846838825,0.6173180696392777,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,21,659806,1164.8758709430695,10.168421268463135,101578.86,880.184,0.976245061216526,0.09247135842880523,0.07852675469075747,0.010973027526566799,0.0849304772641864,0.5337768635820953,0.976245061216526,0.09247135842880523,0.07852675469075747,0.010973027526566799,0.0849304772641864,0.9594431904483238,0.9549393057278911,0.9250330178331606
Variant II,21,659806,1173.1598236560822,10.372611999511719,102196.18,906.966,0.8814887078679089,0.03923930814904053,0.31688672689367614,0.110472364593434,0.06983154670750383,0.6032071811501211,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,21,659806,1113.915535211563,12.307344913482666,97045.739,1071.946,0.8052194710185706,0.023287759438518168,0.40912518853695323,0.19038574177893064,0.04406717706069898,0.6093697233790112,0.9890264490714687,0,0.0,0.0,0,0,0,0
